"item_code","item","unit","item_group","item_category","item_subcategory"
883,"KRIMER MANIS BERVITAMIN CAP F&N","500 g","BARANGAN BERBUNGKUS","KRIMER DAN SUSU TEPUNG","KRIMER"
884,"KRIMER MANIS CAP GOLD COIN","500 g","BARANGAN BERBUNGKUS","KRIMER DAN SUSU TEPUNG","KRIMER"
896,"HALBA","100 g","BARANGAN BERBUNGKUS","REMPAH RATUS (TIDAK BERBUNGKUS)",
904,"BERAS SUPER CAP RAMBUTAN 5% (IMPORT)","10 kg","BARANGAN BERBUNGKUS","BERAS","BERAS SUPER"
910,"KORDIAL F&N (SIRAP ROS)","2 liter","MINUMAN","BAHAN-BAHAN MINUMAN","KORDIAL"
917,"TEPUNG GANDUM NGP (BERBUNGKUS, CAP SAUH)","1kg","BARANGAN BERBUNGKUS","TEPUNG","TEPUNG GANDUM"
918,"MINYAK MASAK PAKET (PELBAGAI JENAMA)","1kg","BARANGAN BERBUNGKUS","MINYAK DAN LEMAK","MINYAK MASAK"
919,"SUSU TEPUNG PENUH KRIM DUTCHLADY","600 g","BARANGAN BERBUNGKUS","KRIMER DAN SUSU TEPUNG","SUSU TEPUNG"
929,"NESCAFE CLASSIC (PAKET)","200 g","MINUMAN","BAHAN-BAHAN MINUMAN","NESCAFE"
957,"SOS CILI KIMBALL","340 g","BARANGAN BERBUNGKUS","KICAP DAN SOS","SOS CILI"
992,"BERAS CAP JATI (SST5%)","10 kg","BARANGAN BERBUNGKUS","BERAS","BERAS"
1017,"FISHERMAN'S FRIEND ORIGINAL","25 g","BARANGAN KEDAI SERBANEKA","UBAT-UBATAN","UBAT BATUK"
1019,"MINYAK ANGIN CAP KAPAK","3 ml","BARANGAN KEDAI SERBANEKA","UBAT-UBATAN","MINYAK ANGIN"
1020,"VICKS VAPORUB","10 g","BARANGAN KEDAI SERBANEKA","UBAT-UBATAN","UBAT SAPU"
1025,"LISTERINE COOL MINT","250 ml","BARANGAN KEDAI SERBANEKA","MOUTH WASH","PENCUCI MULUT"
1050,"MAGGI MEE CURRY","79 g","BARANGAN KEDAI SERBANEKA","MAKANAN SEGERA","MI SEGERA"
1063,"KINDER BUENO - MILK & HAZELNUT","43 g","BARANGAN KEDAI SERBANEKA","COKLAT",
1070,"SOS CILI MAGGI","340 g","BARANGAN BERBUNGKUS","KICAP DAN SOS","SOS CILI"
1080,"SERBUK PENAIK ROYAL (TIN)","226g","BARANGAN BERBUNGKUS","ESEN DAN RAGI",
1081,"MACKAREL CAP KING CUP (SOS TOMATO)","155 g","BARANGAN BERBUNGKUS","IKAN DALAM TIN","MACKAREL"
1082,"MACKAREL CAP AYAM (SOS TOMATO)","155 g","BARANGAN BERBUNGKUS","IKAN DALAM TIN","MACKAREL"
1084,"TEH BOH (SERBUK)","500 g","MINUMAN","BAHAN-BAHAN MINUMAN","TEH"
1086,"MINYAK JAGUNG CAP DAISY","1kg","BARANGAN BERBUNGKUS","MINYAK DAN LEMAK","MINYAK JAGUNG"
1087,"MINYAK JAGUNG CAP DAISY","3 kg","BARANGAN BERBUNGKUS","MINYAK DAN LEMAK","MINYAK JAGUNG"
1088,"MINYAK JAGUNG CAP MAZOLA","3 kg","BARANGAN BERBUNGKUS","MINYAK DAN LEMAK","MINYAK JAGUNG"
1089,"MINYAK JAGUNG CAP VECORN","3 kg","BARANGAN BERBUNGKUS","MINYAK DAN LEMAK","MINYAK JAGUNG"
1090,"MINYAK JAGUNG CAP VECORN","1kg","BARANGAN BERBUNGKUS","MINYAK DAN LEMAK","MINYAK JAGUNG"
